SampleID,Year,Population,Group,Sex,Label,Latitude,Longitude,Collector,NCBI_SRA,,,,,
ALS18_2,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_3,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_5,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_6,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_8,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_9,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_10,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
ALS18_13,2019,Alsum18-2019,Alsum1,,,43.21723,-90.16774,"Pelissie, Magnusson",,,,,,
CPB2015_54A,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54B,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54C,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54D,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,, ,,,
CPB2015_54E,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54F,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54G,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_54H,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_287A,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_287B,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_287C,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
CPB2015_287D,2015,Alsum25-2015,Alsum1,,,43.209314,-90.147798,Crossley,,,,,,
ALS18_2023A,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023B,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023C,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023D,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023E,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023F,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023G,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS18_2023H,2023,Alsum18-2023,Alsum1,,,43.21723,-90.16774,Schoville,,,,,,
ALS59_1,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_2,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_4,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_8,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_9,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_10,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_12,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS59_13,2019,Alsum59-2019,Alsum2,,,43.209921,-90.207351,"Pelissie, Magnusson",,,,,,
ALS140_2015215B,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215C,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215D,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215E,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215F,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215G,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215H,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
ALS140_2015215L,2015,Alsum140-2015,Alsum2,,,43.21003333,-90.19736389,Crossley,,,,,,
SDS23_008A,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008B,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008C,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008D,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008E,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
